GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Enchanted Courier Guild,edu.oop.guild.factory,DeliveryPlanFactory,40,0,0,0,9,0,2,0,2,0
Enchanted Courier Guild,edu.oop.guild.creature,CloudDragon,0,5,0,0,0,2,0,2,0,2
Enchanted Courier Guild,edu.oop.guild.seal,LabelSealer,29,0,0,0,6,0,3,0,3,0
Enchanted Courier Guild,edu.oop.guild.model,DeliveryPlan,0,52,0,2,0,16,0,7,0,6
Enchanted Courier Guild,edu.oop.guild.model,PackageType,3,35,0,0,1,8,1,3,1,3
Enchanted Courier Guild,edu.oop.guild.model,DeliveryRequest,0,61,0,8,0,20,0,10,0,6
Enchanted Courier Guild,edu.oop.guild.model,RealmType,3,28,0,0,1,7,1,3,1,3
Enchanted Courier Guild,edu.oop.guild.strategy,StandardDeliveryStrategy,0,35,0,2,0,7,0,4,0,3
Enchanted Courier Guild,edu.oop.guild.strategy,CarefulDeliveryStrategy,0,28,0,0,0,7,0,3,0,3
Enchanted Courier Guild,edu.oop.guild.strategy,ExpressDeliveryStrategy,0,37,0,2,0,7,0,4,0,3
